Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
ANU.Fieldwork,,2019-01-13,208.422056384743,332.39883913764515,604.8482587064677,545.092039800995,692.5845771144279,813.9079601990051,969.2081260364845,953.1334991708128,1509.8855721393033,1062.2786069651743,1330.0472636815923,956.382255389718,17125.009445705287
ANU.Fieldwork,,2019-01-13,316.0,422.0,627.0,733.0,1012.0,1516.0,1781.0,1818.0,2282.0,1947.0,2374.0,1673.0,452.1557385279862
ANU.Fieldwork,,2019-01-13,629.0,901.0,1278.0,1664.0,2036.0,2214.0,2429.0,2495.0,2754.0,2683.0,3755.0,2916.0,639.3951628728536
ANU.Fieldwork,,2019-01-13,359.0,496.0,702.0,913.0,1251.0,1661.0,1920.0,1974.0,2264.0,2246.0,2851.0,2091.0,163.12011243598454
ANU.Fieldwork,,2019-01-13,320.5,414.375,784.525,714.6249999999999,842.6750000000001,758.375,940.525,881.375,2046.0249999999999,978.275,1394.075,1010.125,1687.5006420991076
ANU.Fieldwork,,2019-01-13,361.24,571.04,760.6800000000001,997.9200000000001,1275.36,1730.6399999999999,2018.12,2101.04,2363.72,2285.92,3176.0399999999995,2266.12,347.64583516268243
ANU.Fieldwork,,2019-01-13,418.0,658.0,918.0,1131.0,1479.0,1945.0,2204.0,2282.0,2368.0,2432.0,3253.0,2401.0,189.10555812795096
ANU.Fieldwork,,2019-01-13,376.2463768115942,420.5362318840579,688.4347826086956,763.2898550724638,1177.5797101449273,1528.2608695652173,1753.1449275362315,1708.3623188405795,2539.0144927536226,1841.7391304347825,2153.9130434782605,1532.1304347826087,993.1755601637915
ANU.Fieldwork,,2019-01-13,447.25,450.8125,630.3749999999999,796.4999999999999,1144.9375,1642.4375000000002,1870.1875,1946.875,2289.6875000000005,2129.0,2737.3125,1933.1249999999998,223.81236321629981
ANU.Fieldwork,,2019-01-13,522.0816326530612,839.4489795918369,1160.8979591836735,1547.0408163265306,1890.5102040816328,2204.3673469387754,2467.4285714285716,2612.1836734693884,2771.8367346938776,2790.775510204082,3958.061224489796,3077.408163265306,654.2612526814888
ANU.Fieldwork,,2019-01-13,618.0,1142.0,1592.0,2045.0,2360.0,2561.0,2877.0,2935.0,2961.0,3075.0,4117.0,3453.0,86.33058319765156
ANU.Fieldwork,,2019-01-13,681.0,992.0,1399.0,1827.0,2196.0,2458.0,2699.0,2767.0,2891.0,2931.0,4086.0,3436.0,134.8938985663465
ANU.Fieldwork,,2019-01-13,663.0,893.0,1320.0,1653.0,2166.0,2338.0,2646.0,2607.0,2981.0,2760.0,3789.0,3160.0,236.9615409378304
ANU.Fieldwork,,2019-01-13,648.0,867.0,1231.0,1585.0,1952.0,2093.0,2304.0,2290.0,2679.0,2522.0,3550.0,2982.0,307.9828379075076
ANU.Fieldwork,,2019-01-13,665.0,1024.0,1472.0,1892.0,2185.0,2422.0,2594.0,2640.0,2686.0,2769.0,3891.0,3315.0,170.18554137690734
